miRNA_ID,read_count,reads_per_million_miRNA_mapped,cross-mapped
hsa-mir-383,0,0,N
hsa-mir-384,0,0,N
hsa-mir-3907,0,0,N
hsa-mir-3908,0,0,N
hsa-mir-3909,0,0,N
hsa-mir-3910-1,0,0,N
hsa-mir-3910-2,0,0,N
hsa-mir-3911,0,0,N
hsa-mir-3912,5,0.980155,N
hsa-mir-3913-1,4,0.784124,N
hsa-mir-3913-2,8,1.568248,N
hsa-mir-3914-1,0,0,N
hsa-mir-3914-2,0,0,N
hsa-mir-3915,0,0,N
hsa-mir-3916,0,0,N
hsa-mir-3917,6,1.176186,N
hsa-mir-3918,0,0,N
hsa-mir-3919,0,0,N
hsa-mir-3920,0,0,N
hsa-mir-3921,0,0,N
hsa-mir-3922,2,0.392062,N
hsa-mir-3923,0,0,N
hsa-mir-3924,0,0,N
hsa-mir-3925,0,0,N
hsa-mir-3926-1,2,0.392062,N
hsa-mir-3926-2,2,0.392062,N
hsa-mir-3927,0,0,N
hsa-mir-3928,9,1.764279,N
hsa-mir-3929,0,0,N
hsa-mir-3934,4,0.784124,N
hsa-mir-3935,0,0,N
hsa-mir-3936,0,0,N
hsa-mir-3937,0,0,N
hsa-mir-3938,0,0,N
hsa-mir-3939,1,0.196031,N
hsa-mir-3940,3,0.588093,N
hsa-mir-3941,3,0.588093,N
hsa-mir-3942,2,0.392062,N
hsa-mir-3943,0,0,N
hsa-mir-3944,6,1.176186,N
hsa-mir-3945,1,0.196031,N
hsa-mir-3960,0,0,N
hsa-mir-3972,0,0,N
hsa-mir-3973,0,0,N
hsa-mir-3974,0,0,N
hsa-mir-3975,0,0,N
hsa-mir-3976,0,0,N
hsa-mir-3977,0,0,N
hsa-mir-3978,0,0,N
hsa-mir-409,161,31.560997,N
hsa-mir-410,153,29.992749,N
hsa-mir-411,36,7.057117,N
hsa-mir-412,73,14.310266,N
hsa-mir-421,53,10.389645,N
hsa-mir-422a,0,0,N
hsa-mir-423,792,155.256582,N
hsa-mir-424,776,152.120085,N
hsa-mir-425,1338,262.289529,N
hsa-mir-4251,0,0,N
hsa-mir-4252,0,0,N
hsa-mir-4253,0,0,N
hsa-mir-4254,0,0,N
hsa-mir-4255,0,0,N
hsa-mir-4256,0,0,N
hsa-mir-4257,0,0,N
hsa-mir-4258,0,0,N
hsa-mir-4259,0,0,N
hsa-mir-4260,0,0,N
hsa-mir-4261,0,0,N
hsa-mir-4262,0,0,N
hsa-mir-4263,0,0,N
hsa-mir-4264,0,0,N
hsa-mir-4265,0,0,N
hsa-mir-4266,0,0,N
hsa-mir-4267,0,0,N
hsa-mir-4268,0,0,N
hsa-mir-4269,0,0,N
hsa-mir-4270,0,0,N
hsa-mir-4271,0,0,N
hsa-mir-4272,0,0,N
hsa-mir-4273,0,0,N
hsa-mir-4274,0,0,N
hsa-mir-4275,0,0,N
hsa-mir-4276,0,0,N
hsa-mir-4277,0,0,N
hsa-mir-4278,0,0,N
hsa-mir-4279,0,0,N
hsa-mir-4280,0,0,N
hsa-mir-4281,0,0,N
hsa-mir-4282,0,0,N
hsa-mir-4283-1,0,0,N
hsa-mir-4283-2,0,0,N
hsa-mir-4284,1,0.196031,N
hsa-mir-4285,0,0,N
hsa-mir-4286,1,0.196031,N
hsa-mir-4287,0,0,N
hsa-mir-4288,0,0,N
hsa-mir-4289,0,0,N
hsa-mir-429,18,3.528559,N
hsa-mir-4290,0,0,N
hsa-mir-4291,0,0,N
hsa-mir-4292,0,0,N
hsa-mir-4293,0,0,N
hsa-mir-4294,0,0,N
hsa-mir-4295,0,0,N
hsa-mir-4296,0,0,N
hsa-mir-4297,0,0,N
hsa-mir-4298,0,0,N
hsa-mir-4299,0,0,N
hsa-mir-4300,0,0,N
hsa-mir-4301,0,0,N
hsa-mir-4302,0,0,N
hsa-mir-4303,0,0,N
hsa-mir-4304,0,0,N
hsa-mir-4305,0,0,N
hsa-mir-4306,0,0,N
hsa-mir-4307,0,0,N
hsa-mir-4308,0,0,N
hsa-mir-4309,0,0,N
hsa-mir-431,75,14.702328,N
hsa-mir-4310,0,0,N
hsa-mir-4311,0,0,N
hsa-mir-4312,0,0,N
hsa-mir-4313,0,0,N
hsa-mir-4314,0,0,N
hsa-mir-4315-1,0,0,N
hsa-mir-4315-2,0,0,N
hsa-mir-4316,0,0,N
hsa-mir-4317,0,0,N
hsa-mir-4318,0,0,N
hsa-mir-4319,0,0,N
hsa-mir-432,49,9.605521,N
hsa-mir-4320,0,0,N
hsa-mir-4321,0,0,N
hsa-mir-4322,0,0,N
hsa-mir-4323,0,0,N
hsa-mir-4324,0,0,N
hsa-mir-4325,0,0,N
hsa-mir-4326,14,2.744435,N
hsa-mir-4327,0,0,N
hsa-mir-4328,0,0,N
hsa-mir-4329,0,0,N
hsa-mir-433,13,2.548403,N
hsa-mir-4330,0,0,N
hsa-mir-4417,0,0,N
hsa-mir-4418,0,0,N
hsa-mir-4419a,0,0,N
hsa-mir-4419b,0,0,N
hsa-mir-4420,0,0,N
hsa-mir-4421,2,0.392062,N
hsa-mir-4422,0,0,N
hsa-mir-4423,0,0,N
hsa-mir-4424,0,0,N
hsa-mir-4425,0,0,N
